"method_group","slope_metric","qc_name","n_total","n_retained","prop_retained","n_retained_Northern","n_retained_Southern"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate",174,142,0.816091954022989,70,72
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate",174,138,0.793103448275862,69,69
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate",174,131,0.752873563218391,65,66
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate",174,105,0.603448275862069,56,49
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate",174,105,0.603448275862069,55,50
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar",174,103,0.591954022988506,51,52
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate",174,98,0.563218390804598,51,47
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar",174,94,0.540229885057471,44,50
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar",174,91,0.522988505747126,46,45
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate",174,142,0.816091954022989,70,72
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate",174,138,0.793103448275862,69,69
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate",174,131,0.752873563218391,65,66
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k1_tropical_temperate",174,105,0.603448275862069,56,49
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k2_tropical_temperate",174,105,0.603448275862069,55,50
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate_polar",174,103,0.591954022988506,51,52
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate",174,98,0.563218390804598,51,47
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate_polar",174,94,0.540229885057471,44,50
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar",174,91,0.522988505747126,46,45
"percentile_latbin_OLS","q75","occurrence5_k1_tropical_temperate",174,142,0.816091954022989,70,72
"percentile_latbin_OLS","q75","occurrence10_k1_tropical_temperate",174,138,0.793103448275862,69,69
"percentile_latbin_OLS","q75","collection5_k1_tropical_temperate",174,131,0.752873563218391,65,66
"percentile_latbin_OLS","q75","collection10_k1_tropical_temperate",174,105,0.603448275862069,56,49
"percentile_latbin_OLS","q75","occurrence5_k2_tropical_temperate",174,105,0.603448275862069,55,50
"percentile_latbin_OLS","q75","occurrence5_k1_tropical_temperate_polar",174,103,0.591954022988506,51,52
"percentile_latbin_OLS","q75","occurrence10_k2_tropical_temperate",174,98,0.563218390804598,51,47
"percentile_latbin_OLS","q75","occurrence10_k1_tropical_temperate_polar",174,94,0.540229885057471,44,50
"percentile_latbin_OLS","q75","collection5_k1_tropical_temperate_polar",174,91,0.522988505747126,46,45
