"method_group","slope_metric","qc_name","group1","group2","n1","n2","median1","median2","median_diff","p_value","w_statistic","iqr1","iqr2","test_note","p_adjusted"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coldhouse","Warmhouse",24,28,-0.565283326479493,-0.0817143730341044,-0.483568953445389,8.71162722022755e-05,131,0.663403299650766,0.27083205642916,"Tested",0.000435581361011378
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coldhouse","Hothouse",24,27,-0.565283326479493,-0.0730035922768525,-0.49227973420264,4.87118661735874e-05,117,0.663403299650766,0.353430198894834,"Tested",0.000435581361011378
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coldhouse","Transitional",24,33,-0.565283326479493,-0.111307934966387,-0.453975391513106,0.000233305849247092,179,0.663403299650766,0.34402363384381,"Tested",0.000777686164156972
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coolhouse","Warmhouse",30,28,-0.206650299214319,-0.0817143730341044,-0.124935926180214,0.00437137613538081,251,0.328181518531756,0.27083205642916,"Tested",0.00874275227076161
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coolhouse","Hothouse",30,27,-0.206650299214319,-0.0730035922768525,-0.133646706937466,0.00428109910454501,240,0.328181518531756,0.353430198894834,"Tested",0.00874275227076161
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coldhouse","Coolhouse",24,30,-0.565283326479493,-0.206650299214319,-0.358633027265174,0.0126465076106532,231,0.663403299650766,0.328181518531756,"Tested",0.0210775126844221
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coolhouse","Transitional",30,33,-0.206650299214319,-0.111307934966387,-0.0953423642479311,0.0161774513190303,339,0.328181518531756,0.34402363384381,"Tested",0.0231106447414718
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Transitional","Hothouse",33,27,-0.111307934966387,-0.0730035922768525,-0.038304342689535,0.202676597780808,389,0.34402363384381,0.353430198894834,"Tested",0.25334574722601
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Transitional","Warmhouse",33,28,-0.111307934966387,-0.0817143730341044,-0.0295935619322831,0.298657786397384,425,0.34402363384381,0.27083205642916,"Tested",0.331841984885982
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Warmhouse","Hothouse",28,27,-0.0817143730341044,-0.0730035922768525,-0.00871078075725193,0.364996270839973,357,0.27083205642916,0.353430198894834,"Tested",0.364996270839973
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Coldhouse","Hothouse",12,20,-0.455210050718687,-0.0704738490774284,-0.384736201641258,0.000285679913802705,31,0.275300560224933,0.254777237006258,"Tested",0.00142839956901353
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Coolhouse","Hothouse",23,20,-0.266041890624134,-0.0704738490774284,-0.195568041546705,0.000180433292169476,83,0.331991257069899,0.254777237006258,"Tested",0.00142839956901353
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Coldhouse","Warmhouse",12,23,-0.455210050718687,-0.130310932050082,-0.324899118668605,0.00165927677492556,53,0.275300560224933,0.287195520029525,"Tested",0.00553092258308521
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Coldhouse","Transitional",12,25,-0.455210050718687,-0.12715947039532,-0.328050580323367,0.00250468520225587,63,0.275300560224933,0.238227130448408,"Tested",0.00626171300563967
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Coolhouse","Warmhouse",23,23,-0.266041890624134,-0.130310932050082,-0.135730958574052,0.00322308391954453,140,0.331991257069899,0.287195520029525,"Tested",0.00644616783908907
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Coolhouse","Transitional",23,25,-0.266041890624134,-0.12715947039532,-0.138882420228814,0.00388104309284805,158,0.331991257069899,0.238227130448408,"Tested",0.00646840515474675
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Coldhouse","Coolhouse",12,23,-0.455210050718687,-0.266041890624134,-0.189168160094553,0.102316384036369,101,0.275300560224933,0.331991257069899,"Tested",0.113684871151521
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Transitional","Hothouse",25,20,-0.12715947039532,-0.0704738490774284,-0.0566856213178914,0.0945253526849208,192,0.238227130448408,0.254777237006258,"Tested",0.113684871151521
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Warmhouse","Hothouse",23,20,-0.130310932050082,-0.0704738490774284,-0.0598370829726534,0.0922488083361942,175,0.287195520029525,0.254777237006258,"Tested",0.113684871151521
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Transitional","Warmhouse",25,23,-0.12715947039532,-0.130310932050082,0.00315146165476202,0.5,287,0.238227130448408,0.287195520029525,"Tested",0.5
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Coldhouse","Hothouse",17,20,-0.497299209818183,-0.0704738490774284,-0.426825360740754,0.000585801969534536,63,0.34984605856832,0.254777237006258,"Tested",0.00585801969534536
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Coldhouse","Transitional",17,22,-0.497299209818183,-0.0892695327293528,-0.40802967708883,0.0043991902972777,94,0.34984605856832,0.278196311366152,"Tested",0.0146639676575923
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Coldhouse","Warmhouse",17,20,-0.497299209818183,-0.133439863815744,-0.363859346002439,0.00419223111333032,83,0.34984605856832,0.370307895112867,"Tested",0.0146639676575923
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Coolhouse","Hothouse",26,20,-0.190645385814683,-0.0704738490774284,-0.120171536737254,0.00674299428875131,148,0.288551611084286,0.254777237006258,"Tested",0.0168574857218783
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Coldhouse","Coolhouse",17,26,-0.497299209818183,-0.190645385814683,-0.3066538240035,0.0286990566619171,144,0.34984605856832,0.288551611084286,"Tested",0.0573981133238342
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Coolhouse","Transitional",26,22,-0.190645385814683,-0.0892695327293528,-0.10137585308533,0.0351078205248567,198,0.288551611084286,0.278196311366152,"Tested",0.0585130342080944
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Coolhouse","Warmhouse",26,20,-0.190645385814683,-0.133439863815744,-0.0572055219989387,0.0797042559615468,196,0.288551611084286,0.370307895112867,"Tested",0.11386322280221
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Warmhouse","Hothouse",20,20,-0.133439863815744,-0.0704738490774284,-0.0629660147383154,0.0947719920794905,151,0.370307895112867,0.254777237006258,"Tested",0.118464990099363
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Transitional","Hothouse",22,20,-0.0892695327293528,-0.0704738490774284,-0.0187956836519244,0.213799849175255,188,0.278196311366152,0.254777237006258,"Tested",0.237555387972505
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Transitional","Warmhouse",22,20,-0.0892695327293528,-0.133439863815744,0.044170331086391,0.670294106253757,237,0.278196311366152,0.370307895112867,"Tested",0.670294106253757
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","Coolhouse","Hothouse",17,13,-0.19473900698368,-0.0679441058780044,-0.126794901105675,0.000256671730551231,27,0.198591361551402,0.177156252384192,"Tested",0.00256671730551231
