"method_group","slope_metric","Analysis scope","QC Scenario","Group 1","Group 2","n1","n2","Median difference","W statistics","p value","p-adjusted value"
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Warmhouse",22,25,-0.61824966273617,78,1.39850151543391e-05,0.000139850151543391
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Transitional",22,25,-0.458349328111848,113,0.000287445964478499,0.0014372298223925
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Hothouse",22,24,-0.59942809557549,115,0.000546333293811518,0.00182111097937173
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Coolhouse",22,30,-0.382968939862789,163,0.00102166120811089,0.00255415302027722
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coolhouse","Warmhouse",30,25,-0.23528072287338,224,0.00548089866859521,0.0109617973371904
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coolhouse","Hothouse",30,24,-0.216459155712701,275,0.0706514821926623,0.10093068884666
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Transitional","Warmhouse",25,25,-0.159900334624322,236,0.0701578246886789,0.10093068884666
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coolhouse","Transitional",30,25,-0.0753803882490588,320,0.178468275291942,0.223085344114927
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Transitional","Hothouse",25,24,-0.141078767463642,263,0.232695092300897,0.258550102556553
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Warmhouse","Hothouse",25,24,0.0188215671606799,309,0.575345434734795,0.575345434734795
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coldhouse","Transitional",12,19,-0.394599852218979,42,0.00186755275556028,0.0062251758518676
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coldhouse","Warmhouse",12,19,-0.453678256020615,39,0.00125815184322615,0.0062251758518676
