"method_group","slope_metric","qc_name","hemisphere","group1","group2","n1","n2","median1","median2","median_diff","p_value","w_statistic","iqr1","iqr2","test_note","p_adjusted"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coldhouse","Warmhouse",12,15,-0.530893100490057,-0.0368080150758257,-0.494085085414231,0.001578115141351,29,0.57306727469091,0.29912584425466,"Tested",0.007890575706755
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coolhouse","Warmhouse",15,15,-0.34025047311902,-0.0368080150758257,-0.303442458043194,0.00123130210037723,39,0.505811857515708,0.29912584425466,"Tested",0.007890575706755
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coldhouse","Transitional",12,17,-0.530893100490057,-0.0463215239862326,-0.484571576503824,0.00544603111918267,44,0.57306727469091,0.498077796947084,"Tested",0.0136150777979567
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coolhouse","Transitional",15,17,-0.34025047311902,-0.0463215239862326,-0.293928949132787,0.00458528069280851,58,0.505811857515708,0.498077796947084,"Tested",0.0136150777979567
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coldhouse","Hothouse",12,11,-0.530893100490057,-0.194142953817603,-0.336750146672454,0.0123385684991999,29,0.57306727469091,0.215469666287003,"Tested",0.0246771369983998
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coolhouse","Hothouse",15,11,-0.34025047311902,-0.194142953817603,-0.146107519301417,0.034647042755779,47,0.505811857515708,0.215469666287003,"Tested",0.0577450712596317
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coldhouse","Coolhouse",12,15,-0.530893100490057,-0.34025047311902,-0.190642627371037,0.183340559536547,71,0.57306727469091,0.505811857515708,"Tested",0.261915085052209
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Transitional","Warmhouse",17,15,-0.0463215239862326,-0.0368080150758257,-0.00951350891040688,0.338928139205671,116,0.498077796947084,0.29912584425466,"Tested",0.423660174007089
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Transitional","Hothouse",17,11,-0.0463215239862326,-0.194142953817603,0.14782142983137,0.838386447002129,114,0.498077796947084,0.215469666287003,"Tested",0.919437525355474
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Warmhouse","Hothouse",15,11,-0.0368080150758257,-0.194142953817603,0.157334938741777,0.919437525355474,109,0.29912584425466,0.215469666287003,"Tested",0.919437525355474
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coldhouse","Hothouse",12,16,-0.579661370233216,0.0511422584021537,-0.63080362863537,0.00185696518580774,33,0.580221124115632,0.390083933475083,"Tested",0.0185696518580774
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coldhouse","Coolhouse",12,15,-0.579661370233216,-0.170895720745079,-0.408765649488137,0.0116351460049754,43,0.580221124115632,0.326508553958023,"Tested",0.0395909081980187
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coldhouse","Transitional",12,16,-0.579661370233216,-0.128194685345084,-0.451466684888132,0.0154364019846542,49,0.580221124115632,0.189491441459865,"Tested",0.0395909081980187
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coldhouse","Warmhouse",12,13,-0.579661370233216,-0.102807838510141,-0.476853531723075,0.0158363632792075,38,0.580221124115632,0.208832651421728,"Tested",0.0395909081980187
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Transitional","Hothouse",16,16,-0.128194685345084,0.0511422584021537,-0.179336943747238,0.0199856181837508,73,0.189491441459865,0.390083933475083,"Tested",0.0399712363675017
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Warmhouse","Hothouse",13,16,-0.102807838510141,0.0511422584021537,-0.153950096912295,0.0378629571016853,63,0.208832651421728,0.390083933475083,"Tested",0.0631049285028088
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coolhouse","Hothouse",15,16,-0.170895720745079,0.0511422584021537,-0.222037979147233,0.0745399336871422,83,0.326508553958023,0.390083933475083,"Tested",0.10648561955306
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coolhouse","Warmhouse",15,13,-0.170895720745079,-0.102807838510141,-0.0680878822349376,0.259491195039076,83,0.326508553958023,0.208832651421728,"Tested",0.324363993798845
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coolhouse","Transitional",15,16,-0.170895720745079,-0.128194685345084,-0.0427010353999944,0.353636712003755,110,0.326508553958023,0.189491441459865,"Tested",0.353636712003755
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Transitional","Warmhouse",16,13,-0.128194685345084,-0.102807838510141,-0.0253868468349432,0.338484568574305,94,0.189491441459865,0.208832651421728,"Tested",0.353636712003755
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","Coldhouse","Warmhouse",7,12,-0.564486991161931,-0.133439863815744,-0.431047127346188,0.00101840074912785,5,0.270945042839748,0.270709869462275,"Tested",0.00541257333259594
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","Coldhouse","Hothouse",7,7,-0.564486991161931,-0.133260835957528,-0.431226155204404,0.00108251466651919,0,0.270945042839748,0.155351772858856,"Tested",0.00541257333259594
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","Coldhouse","Transitional",7,13,-0.564486991161931,-0.0463215239862326,-0.518165467175699,0.00277283365762203,10,0.270945042839748,0.391680488421492,"Tested",0.00886627783612618
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","Coolhouse","Transitional",12,13,-0.374751270923772,-0.0463215239862326,-0.32842974693754,0.00354651113445047,28,0.459347957538748,0.391680488421492,"Tested",0.00886627783612618
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","Coolhouse","Warmhouse",12,12,-0.374751270923772,-0.133439863815744,-0.241311407108028,0.00706898472795575,29,0.459347957538748,0.270709869462275,"Tested",0.0141379694559115
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","Coolhouse","Hothouse",12,7,-0.374751270923772,-0.133260835957528,-0.241490434966245,0.0191967902685548,17,0.459347957538748,0.155351772858856,"Tested",0.0319946504475913
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","Coldhouse","Coolhouse",7,12,-0.564486991161931,-0.374751270923772,-0.189735720238159,0.0815826527187714,25,0.270945042839748,0.459347957538748,"Tested",0.116546646741102
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","Transitional","Warmhouse",13,12,-0.0463215239862326,-0.133439863815744,0.0871183398295112,0.678080899593355,86,0.391680488421492,0.270709869462275,"Tested",0.787352723311562
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","Warmhouse","Hothouse",12,7,-0.133439863815744,-0.133260835957528,-0.000179027858216274,0.708617450980406,48,0.270709869462275,0.155351772858856,"Tested",0.787352723311562
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","Transitional","Hothouse",13,7,-0.0463215239862326,-0.133260835957528,0.086939311971295,0.89758069688575,61,0.391680488421492,0.155351772858856,"Tested",0.89758069688575
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Southern","Coolhouse","Hothouse",11,13,-0.265409970842257,0.0636806491537978,-0.329090619996055,0.00636434104225995,28,0.26909215710605,0.349657960925986,"Tested",0.0318217052112998
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Southern","Transitional","Hothouse",12,13,-0.142104984546799,0.0636806491537978,-0.205785633700596,0.00354651113445047,28,0.133432798759964,0.349657960925986,"Tested",0.0318217052112998
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Southern","Warmhouse","Hothouse",11,13,-0.102807838510141,0.0636806491537978,-0.166488487663939,0.0185021937902386,35,0.258301370625539,0.349657960925986,"Tested",0.0616739793007954
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Southern","Coldhouse","Hothouse",5,13,-0.245308467474833,0.0636806491537978,-0.308989116628631,0.0573787836576935,16,0.304775374434602,0.349657960925986,"Tested",0.143446959144234
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Southern","Coolhouse","Warmhouse",11,11,-0.265409970842257,-0.102807838510141,-0.162602132332116,0.0839527378263175,39,0.26909215710605,0.258301370625539,"Tested",0.167905475652635
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Southern","Coolhouse","Transitional",11,12,-0.265409970842257,-0.142104984546799,-0.123304986295458,0.140728842422311,48,0.26909215710605,0.133432798759964,"Tested",0.234548070703851
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Southern","Transitional","Warmhouse",12,11,-0.142104984546799,-0.102807838510141,-0.0392971460366575,0.239542163602674,54,0.133432798759964,0.258301370625539,"Tested",0.342203090860963
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Southern","Coldhouse","Warmhouse",5,11,-0.245308467474833,-0.102807838510141,-0.142500628964692,0.285546952436498,22,0.304775374434602,0.258301370625539,"Tested",0.356933690545622
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Southern","Coldhouse","Transitional",5,12,-0.245308467474833,-0.142104984546799,-0.103203482928035,0.437183530581446,28,0.304775374434602,0.133432798759964,"Tested",0.485759478423829
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Southern","Coldhouse","Coolhouse",5,11,-0.245308467474833,-0.265409970842257,0.0201015033674234,0.545098978565643,28,0.304775374434602,0.26909215710605,"Tested",0.545098978565643
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Northern","Coldhouse","Transitional",8,15,-0.530893100490057,-0.0463215239862326,-0.484571576503824,0.0109668184332364,24,0.248653203711944,0.381135791602663,"Tested",0.0225760625231336
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Northern","Coldhouse","Warmhouse",8,12,-0.530893100490057,-0.133439863815744,-0.397453236674313,0.00608064302890549,15,0.248653203711944,0.270709869462275,"Tested",0.0225760625231336
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Northern","Coldhouse","Hothouse",8,8,-0.530893100490057,-0.117808507194857,-0.4130845932952,0.00504084694192983,7,0.248653203711944,0.149561468172883,"Tested",0.0225760625231336
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Northern","Coolhouse","Transitional",12,15,-0.26749474005135,-0.0463215239862326,-0.221173216065117,0.00686697548409045,39,0.477823874736968,0.381135791602663,"Tested",0.0225760625231336
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Northern","Coolhouse","Warmhouse",12,12,-0.26749474005135,-0.133439863815744,-0.134054876235606,0.0112880312615668,32,0.477823874736968,0.270709869462275,"Tested",0.0225760625231336
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Northern","Coolhouse","Hothouse",12,8,-0.26749474005135,-0.117808507194857,-0.149686232856493,0.0169326851664126,20,0.477823874736968,0.149561468172883,"Tested",0.028221141944021
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Northern","Coldhouse","Coolhouse",8,12,-0.530893100490057,-0.26749474005135,-0.263398360438707,0.167423729166337,35,0.248653203711944,0.477823874736968,"Tested",0.23917675595191
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Northern","Transitional","Warmhouse",15,12,-0.0463215239862326,-0.133439863815744,0.0871183398295112,0.529173534919482,91,0.381135791602663,0.270709869462275,"Tested",0.606739721694702
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Northern","Warmhouse","Hothouse",12,8,-0.133439863815744,-0.117808507194857,-0.0156313566208866,0.546065749525232,49,0.270709869462275,0.149561468172883,"Tested",0.606739721694702
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Northern","Transitional","Hothouse",15,8,-0.0463215239862326,-0.117808507194857,0.0714869832086246,0.708384937431598,68,0.381135791602663,0.149561468172883,"Tested",0.708384937431598
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Southern","Coldhouse","Coolhouse",9,14,-0.383079510079784,-0.163731227571506,-0.219348282508279,0.0613723411629605,38,0.516850390397971,0.326496777580524,"Tested",0.204574470543202
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Southern","Coldhouse","Hothouse",9,12,-0.383079510079784,0.0511422584021537,-0.434221768481938,0.0214128046154457,25,0.516850390397971,0.297369972528855,"Tested",0.204574470543202
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Southern","Warmhouse","Hothouse",8,12,-0.136467084107025,0.0511422584021537,-0.187609342509179,0.0485819797765018,26,0.341358858162752,0.297369972528855,"Tested",0.204574470543202
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Southern","Transitional","Hothouse",7,12,-0.12715947039532,0.0511422584021537,-0.178301728797474,0.0950997623827324,26,0.15501109986132,0.297369972528855,"Tested",0.237749405956831
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Southern","Coldhouse","Transitional",9,7,-0.383079510079784,-0.12715947039532,-0.255920039684464,0.144910984914307,21,0.516850390397971,0.15501109986132,"Tested",0.241518308190511
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Southern","Coolhouse","Hothouse",14,12,-0.163731227571506,0.0511422584021537,-0.214873485973659,0.123579986605954,61,0.326496777580524,0.297369972528855,"Tested",0.241518308190511
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Southern","Coldhouse","Warmhouse",9,8,-0.383079510079784,-0.136467084107025,-0.246612425972759,0.180322188074469,26,0.516850390397971,0.341358858162752,"Tested",0.25760312582067
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Southern","Coolhouse","Transitional",14,7,-0.163731227571506,-0.12715947039532,-0.0365717571761859,0.340783446397238,43,0.326496777580524,0.15501109986132,"Tested",0.425979307996548
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Southern","Coolhouse","Warmhouse",14,8,-0.163731227571506,-0.136467084107025,-0.0272641434644805,0.567743003454686,58,0.326496777580524,0.341358858162752,"Tested",0.630825559394095
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Southern","Transitional","Warmhouse",7,8,-0.12715947039532,-0.136467084107025,0.00930761371170541,0.698737823819352,32,0.15501109986132,0.341358858162752,"Tested",0.698737823819352
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","Northern","Coldhouse","Hothouse",5,6,-0.497299209818183,-0.117808507194857,-0.379490702623325,0.00405655863278289,0,0.151366099542741,0.102650009788699,"Tested",0.0405655863278289
